CTUID,PRNAME,CMANAME,CMATYPE,area,SumBldgAre,BCR,BldgCount,BDensity,ProxMean,ProxSD,AvgSize
"7050100.12",Saskatchewan,Regina,B,9886176.254882812500000,710689.652329,0.07188721,"3421",0.00034604,15.632272,7.689297,207.743248
"7050100.13",Saskatchewan,Regina,B,8509537.829101562500000,538801.877355,0.06331741,"2054",0.00024138,16.308027,10.085216,262.318343
"7050100.14",Saskatchewan,Regina,B,664985904.942382812500000,3509.555987,0.00000528,"13",0.00000002,20.151835,7.670498,269.965845
"7050005.00",Saskatchewan,Regina,B,2138133.648437500000000,322800.447030,0.15097300,"3141",0.00146904,12.597635,5.610724,102.769961
"7050006.00",Saskatchewan,Regina,B,12731073.909179687500000,676853.138049,0.05316544,"2442",0.00019181,18.528871,17.417214,277.171637
"7050007.00",Saskatchewan,Regina,B,693242.689453125000000,124882.130211,0.18014201,"460",0.00066355,19.509042,11.674442,271.482892
"7050010.00",Saskatchewan,Regina,B,566783.105468750000000,136820.446163,0.24139824,"952",0.00167965,10.316855,6.769689,143.718956
"7050003.00",Saskatchewan,Regina,B,2348330.668945312500000,367261.645037,0.15639265,"2630",0.00111994,14.640517,5.673725,139.643211
"7050004.00",Saskatchewan,Regina,B,17313071.251953125000000,707083.223372,0.04084100,"4057",0.00023433,13.744914,17.710141,174.287213
"7050012.00",Saskatchewan,Regina,B,1412208.068359375000000,317407.577763,0.22475978,"2682",0.00189915,10.833622,5.917523,118.347344
"7050013.00",Saskatchewan,Regina,B,501855.405273437500000,178406.654818,0.35549414,"65",0.00012952,46.884128,21.169015,2744.717766
"7050014.00",Saskatchewan,Regina,B,664918.795898437500000,140588.954470,0.21143778,"970",0.00145882,10.875599,7.744759,144.937066
"7050015.00",Saskatchewan,Regina,B,2428093.191406250000000,424502.428447,0.17482955,"1724",0.00071002,16.554932,13.148654,246.231107
"7050016.00",Saskatchewan,Regina,B,1783482.079101562500000,325403.118268,0.18245382,"2674",0.00149931,13.396579,5.512526,121.691518
"7050017.00",Saskatchewan,Regina,B,5015217.662109375000000,916879.034467,0.18281939,"2048",0.00040836,20.456794,18.292232,447.694841
"7050018.00",Saskatchewan,Regina,B,1940719.795898437500000,371968.340688,0.19166514,"3447",0.00177615,10.677686,5.861451,107.910746
"7050019.00",Saskatchewan,Regina,B,1990515.124023437500000,394407.027014,0.19814320,"3129",0.00157195,11.257468,6.373345,126.048906
"7050020.00",Saskatchewan,Regina,B,1217538.634765625000000,203462.744631,0.16710989,"2149",0.00176504,12.381568,4.445436,94.677871
"7050021.00",Saskatchewan,Regina,B,1143447.534179687500000,166179.591787,0.14533207,"1530",0.00133806,13.796177,4.401237,108.614112
"7050001.01",Saskatchewan,Regina,B,1312979.583007812500000,213803.726024,0.16283858,"1703",0.00129705,14.507194,3.847364,125.545347
"7050001.02",Saskatchewan,Regina,B,1430939.935546875000000,289795.106187,0.20252080,"1649",0.00115239,15.483204,6.652375,175.739907
"7050025.01",Saskatchewan,Regina,B,1601942.476562500000000,262092.491036,0.16360918,"2040",0.00127345,13.725894,6.359717,128.476711
"7050025.02",Saskatchewan,Regina,B,1253143.127929687500000,208136.364943,0.16609145,"1546",0.00123370,13.735440,5.994718,134.628955
"7050011.00",Saskatchewan,Regina,B,579925.510742187500000,151014.958776,0.26040406,"366",0.00063112,20.110034,13.187524,412.609177
"7050024.00",Saskatchewan,Regina,B,1308193.550781250000000,196657.124000,0.15032724,"1841",0.00140728,13.081859,4.303739,106.820817
"7050026.00",Saskatchewan,Regina,B,1561497.646484375000000,301041.471301,0.19279022,"1838",0.00117708,13.865785,8.790945,163.787525
